VARNAME	VARDESC	DOCFILE	TYPE	UNITS	MIN	MAX	RESOLUTION	COMMENT1	COMMENT2	VARIABLE_SOURCE	SOURCE_VARIABLE_ID	UNIQUEKEY	COLLINTERVAL	VARIABLE_MAPPING	ORDER	VALUES
SUBJECT_ID	PARTICIPANT ID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	string									X																											
PROTSEG	SEGMENT	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value									X				A=Screening	B=Post-Randomization Follow-up																						
VISNO	VISIT NUMBER	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Code for visit at which these images were taken				X				00=Qualification Visit	01=Randomization Visit	02=3-Month Telephone	03=6-Month Telephone	04=1 Year In-clinic	05=1.5 Year Telephone	06=2 Year In-clinic	07=2.5 Year Telephone	08=3 Year In-clinic	09=3.5 Year Telephone	10=4 Year In-clinic	11=4.5 Year Telephone	12=5 Year In-clinic	13=5.5 Year Telephone	14=6 Year In-clinic									
EYE	EYE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Eye				X				L=Left	R=Right																						
EXPOTYPE	EXPORTTYPE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Export type and grading module used								AMDColorv.2.0																							
EXPODATE	EXPORTDATE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date export file was written																														
STUDEYEF	STUDYEYE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Eye designated as study eye								R=Right Eye	L=Left Eye	B=Both																					
PHOTDATF	PHOTODATE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date images were taken																														
RETAKESF	RETAKES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Are these retakes?								0=No	2=Yes																						
PHOTPROC	PHOTOGRAPHICPROCEDURE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Photographic procedure								3M + RR	3M+RR+FAF																						
GRADTYPF	GRADETYPE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Type of grade								QC1=Quality control run 1, etc.	ST=Standard grade																						
GRDDATEF	COMPLETEDDATE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading completed (Normal Mode)																														
OVERDATF	OVERRIDEDATE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading was overridden (Override Mode)																														
REVDATEF	REVIEWDATE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading was reviewed (Review Mode)																														
NVAMDPRS	NV_AMD_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Neovascular AMD (or characteristic abnormalities) presence								0=Absent	1=Questionable, any of NeoAMD questions	2=Definite, any of NeoAMD questions	3=Definite, end-stage (e.g., definite disciform scar or photocoagulation scar) or 2 or more of the following 5 CNV characteristics are definitely present: SSR detachment, PED, subretinal/sub-RPE hemorrhage, HE, or fibrous tissue	8=Cannot grade																			
FVPEDPRS	SEROUS_FV_PED_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Serous or fibrovascular PED presence								0=Absent	1=Questionable	2=Definite: Predominantly irregular [“fibrovascular”]	3=Definite: Predominantly smooth and dome-shaped [“serous”]	4=Definite: Neither predominant	8=Cannot grade	9=Not applicable																	
FVPEDDA	SEROUS_FV_PED_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
FVPEDPRO	SEROUS_FV_PED_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999=Not applicable																					
RDPRES	SEROUS_RD_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Serous retinal detachment presence								0=Absent	1=Questionable	2=Definite, within grid	3=Definite, extends outside of grid	8=Cannot grade	9=Not applicable																		
RDDAGRID	SEROUS_RD_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
RDPROX	SEROUS_RD_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999=Not applicable																					
HARDEXUD	HARD_EXUDATE_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Hard exudate presence that is characteristic of AMD								0=Absent	1=Questionable	2=Definite, outside of grid only	3=Definite, within grid	8=Cannot grade	9=Not applicable																		
HCAMDPRS	HEM_CHAR_AMD_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Hemorrhage presence that is characteristic of AMD								0=Absent	1=Questionable	2=Definite, outside of grid only	3=Definite, within grid, intra-retinal	4=Definite, within grid, indeterminate location	5=Definite, within grid, subretinal/sub-RPE	6=Definite, within grid, intra-retinal and subretinal/sub-RPE	8=Cannot grade	9=Not applicable															
HCAMDDA	HEM_CHAR_AMD_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
HCAMDPRO	HEM_CHAR_AMD_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999 – Not applicable																					
LPAMDPRS	LASER_OROTHERTREATMENT_NV_AMD_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Presence of laser photocoagulation treatment for neovascular AMD								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
SFPRES	SUBRETINAL_FIBROSIS_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Subretinal fibrosis presence and type								0=Absent	1=Questionable	2=Definite, outside of grid only	3=Definite, within grid, homogenous (may be fibrin)	4=Definite, within grid, definite fibrous strands	5=Definite, within grid, disciform scar	8=Cannot grade	9=Not applicable																
SFDAGRID	SUBRETINAL_FIBROSIS_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
SFPROX	SUBRETINAL_FIBROSIS_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999=Not applicable																					
VCNVPRES	VISIBLE_CHOR_NV_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Visible choroidal new vessels presence								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
PIGABPRS	PIGMENT_AB_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Presence of pigment abnormalities								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
IPCTRSUB	INCREASED_PIGMENT_CTR_SUBFIELD	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Increased pigment in center subfield								0=Absent	1=Questionable	2=Definite, < circle C2	3=Definite, = circle C2	8=Cannot grade	9=Not applicable																		
IPINGRID	INCREASED_PIGMENT_IN_CTR_AND_INNERS	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Increased pigment within center and inner subfields								0=Absent	1=Questionable	2=Definite, < circle C2	3=Definite, = circle C2	8=Cannot grade	9=Not applicable																		
DPCTRSUB	DEPIGMENTATION_CTR_SUBFIELD	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Depigmentation in center subfield								0=Absent	1=Questionable	2=Definite, < circle I2	3=Definite, < ½ DA	8=Cannot grade	9=Not applicable																		
DPINGRID	DEPIGMENTATION_IN_CTR_AND_INNERS	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Depigmentation within center and inner subfields								0=Absent	1=Questionable	2=Definite, < circle I2	3=Definite, < ½ DA	4=Definite, = ½ DA	8=Cannot grade	9=Not applicable																	
GAPRES	GA_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Geographic atrophy presence								0=Absent	1=Questionable	2=Definite, mild	3=Definite, moderate	4=Definite, severe	8=Cannot grade	9=Not applicable																	
GADAGRID	GA_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
GAPROX	GA_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999=Not applicable																					
GAMACCTR	GA_MAC_CTR	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Geographic atrophy at center of macula								0=Absent	1=Questionable	2=Definite, mild	3=Definite, moderate	4=Definite, severe	8=Cannot grade	9=Not applicable																	
GACONFIG	GA_CONFIGURATION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Geographic atrophy configuration								1=Small (single patch < 1DA)	2=Multifocal	3=Horseshoe	4=Ring	5=Solid (not center)	6=Solid (center involved)	7=Indeterminate	8=Cannot grade	9=Not applicable															
MAXDRUSZ	MAX_DRUSEN_SIZE	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Maximum drusen size								0=Absent	1=Questionable	2=Definite, < 63 mm (circle C0)	3=Definite, < 125 mm (circle C1)	4=Definite, < 250 mm (circle C2)	5=Definite, = 250 mm (circle C2)	8=Cannot grade	9=Not applicable																
SDCTRSUB	SOFT_DRUSEN_CTR_SUBFIELD	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Soft Drusen, center subfield								0=Absent	1=Questionable	2=Definite, soft distinct present	3=Definite, soft indistinct present	4=Definite, predominantly soft indistinct	8=Cannot grade	9=Not applicable																	
SDINNER4	SOFT_DRUSEN_INNER_4_SUBFIELDS	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Soft Drusen, inner 4 subfields								0=Absent	1=Questionable	2=Definite, soft distinct present	3=Definite, soft indistinct present	4=Definite, predominantly soft indistinct	8=Cannot grade	9=Not applicable																	
SDINGRID	SOFT_DRUSEN_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Soft Drusen within the grid								0=Absent	1=Questionable	2=Definite, soft distinct present	3=Definite, soft indistinct present	4=Definite, predominantly soft indistinct	8=Cannot grade	9=Not applicable																	
CALCDRUS	CALC_DRUSEN_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Presence of calcified drusen								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
DARCSUB	DRUSEN_AREA_CTR_SUBFIELD	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Drusen area within center subfield								0=Absent, questionable, definite < circle C0	1=Definite, < circle C1	2=Definite, < circle C2	3=Definite, < circle I2	4=Definite, < circle O2	5=Definite, < ½ DA	8=Cannot grade	9=Not applicable																
DARINGRD	DRUSEN_AREA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Drusen area within grid								0=Absent, questionable, definite < circle C0	1=Definite, < circle C1	2=Definite, < circle C2	3=Definite, < circle I2	4=Definite, < circle O2	5=Definite, < ½ DA	6=Definite, < 1 DA	7=Definite, = 1 DA	8=Cannot grade	9=Not applicable														
DPEDPRES	DRUSENOID_PED_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Drusenoid PED presence								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
DPEDDAGR	DRUSENOID_PED_DA_IN_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	decimal, encoded value	Disk Area	0	16										0.00-16.00 DA	88.88=Cannot grade	99.99=Not applicable																					
DPEDPROX	DRUSENOID_PED_PROX	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer, encoded value	Microns	0	3600										0-3600mm	8888=Cannot grade	9999=Not applicable																					
RETDRUS	RETIC_DRUSEN_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Reticular drusen presence								0=Absent	1=Questionable	2=Definite, outside grid	3=Definite, within grid (+/- outside)	8=Cannot grade	9=Not applicable																		
DAROUGRD	DRUSEN_AREA_OUTSIDE_GRID	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Drusen area outside grid								0=Absent	1=Questionable, definite, < circle O2	2=Definite, = circle O2	8=Cannot grade	9=Not applicable																			
CABPRES	CONF_AB_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Confounding abnormalities presence								0=Absent	1=Questionable	2=Definite, unconfirmed	3=Definite, confirmed by PI	8=Cannot grade																			
CABCODE1	CONF_AB_CODE1_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Confounding abnormalities first code number and description								18=Pupil < 5 mm diameter	19=Media opacity precludes adequate photos	20=Angioid streaks	21=Diabetes = 10 red spots (Ma's and/or small RHS) and/or < 10 red spots with more severe lesion(s)	23=Drug related maculopathy (e.g. chloroquine)	24=Nevus within grid with associated pigmentation, depigmentation or drusen	25=Healed chorioretinal scar to include Histo, Toxo, Chorioretinitis	26=Macular edema < 1500 microns from center	27=Macular hole/cyst < 1500 microns from center	28=Macular scar < 1500 microns from center	29=Macular other lesion < 1500 microns from center	30=Occlusion, central or branch artery	31=Occlusion, central or branch vein	32=Optic atrophy	33=Optic disc edema	34=Photocoagulation scars, other (i.e. non-AMD)	35=Preretinal or vitreous hemorrhage	36=Retinal detachment	37=Other disqualifying lesions	38=Surface wrinkling retinopathy with coarse traction lines through the center OR vascular dragging within the inner subfields OR ERM involving the center, part of which obscures underlying vessels or pseudohole	39=Cataracts preclude satisfactory photos	40=Myopic crescent > 1/2 longest diameter of disc	88=Cannot grade	99=Not applicable
CABCODE2	CONF_AB_CODE2_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Confounding abnormalities second code number and description								18=Pupil < 5 mm diameter	19=Media opacity precludes adequate photos	20=Angioid streaks	21=Diabetes = 10 red spots (Ma's and/or small RHS) and/or < 10 red spots with more severe lesion(s)	23=Drug related maculopathy (e.g. chloroquine)	24=Nevus within grid with associated pigmentation, depigmentation or drusen	25=Healed chorioretinal scar to include Histo, Toxo, Chorioretinitis	26=Macular edema < 1500 microns from center	27=Macular hole/cyst < 1500 microns from center	28=Macular scar < 1500 microns from center	29=Macular other lesion < 1500 microns from center	30=Occlusion, central or branch artery	31=Occlusion, central or branch vein	32=Optic atrophy	33=Optic disc edema	34=Photocoagulation scars, other (i.e. non-AMD)	35=Preretinal or vitreous hemorrhage	36=Retinal detachment	37=Other disqualifying lesions	38=Surface wrinkling retinopathy with coarse traction lines through the center OR vascular dragging within the inner subfields OR ERM involving the center, part of which obscures underlying vessels or pseudohole	39=Cataracts preclude satisfactory photos	40=Myopic crescent > 1/2 longest diameter of disc	88=Cannot grade	99=Not applicable
CABCODE3	CONF_AB_CODE3_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Confounding abnormalities third code number and description								18=Pupil < 5 mm diameter	19=Media opacity precludes adequate photos	20=Angioid streaks	21=Diabetes = 10 red spots (Ma's and/or small RHS) and/or < 10 red spots with more severe lesion(s)	23=Drug related maculopathy (e.g. chloroquine)	24=Nevus within grid with associated pigmentation, depigmentation or drusen	25=Healed chorioretinal scar to include Histo, Toxo, Chorioretinitis	26=Macular edema < 1500 microns from center	27=Macular hole/cyst < 1500 microns from center	28=Macular scar < 1500 microns from center	29=Macular other lesion < 1500 microns from center	30=Occlusion, central or branch artery	31=Occlusion, central or branch vein	32=Optic atrophy	33=Optic disc edema	34=Photocoagulation scars, other (i.e. non-AMD)	35=Preretinal or vitreous hemorrhage	36=Retinal detachment	37=Other disqualifying lesions	38=Surface wrinkling retinopathy with coarse traction lines through the center OR vascular dragging within the inner subfields OR ERM involving the center, part of which obscures underlying vessels or pseudohole	39=Cataracts preclude satisfactory photos	40=Myopic crescent > 1/2 longest diameter of disc	88=Cannot grade	99=Not applicable
OABPRES	OTHER_AB_PRES	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Other abnormalities presence								0=Absent	1=Questionable	2=Definite	8=Cannot grade	9=Not applicable																			
OABCODE1	OTHER_AB_CODE1_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Other abnormalities first code number and description								41=Asteroid hyalosis	42=Arteriolar narrowing = Std 19	43=Chorioretinal scar > 1500 microns from center	44=Diabetic retinopathy level 20 or 30 or < 10 small red spots	45=Drusen of the optic nerve	46=Hollenhorst plaque	47=Nevus (< #24 of Confounding ocular lesions)	48=Peripapillary atrophy	49=Cellophane reflex only, no patch = 1 disc area in extent	50=Vitreous opacity or glial remnant	51=Other	52=Large cup (Asymmetry, undercutting, notching, or cup-to-rim)	53=Surface wrinkling retinopathy with no coarse traction lines through the center AND no vascular dragging within the inner subfields AND no ERM involving the center, part of which obscures underlying vessels or pseudohole	54=Pseudovitelliform	88=Cannot grade	99=Not applicable								
OABCODE2	OTHER_AB_CODE2_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Other abnormalities second code number and description								41=Asteroid hyalosis	42=Arteriolar narrowing = Std 19	43=Chorioretinal scar > 1500 microns from center	44=Diabetic retinopathy level 20 or 30 or < 10 small red spots	45=Drusen of the optic nerve	46=Hollenhorst plaque	47=Nevus (< #24 of Confounding ocular lesions)	48=Peripapillary atrophy	49=Cellophane reflex only, no patch = 1 disc area in extent	50=Vitreous opacity or glial remnant	51=Other	52=Large cup (Asymmetry, undercutting, notching, or cup-to-rim)	53=Surface wrinkling retinopathy with no coarse traction lines through the center AND no vascular dragging within the inner subfields AND no ERM involving the center, part of which obscures underlying vessels or pseudohole	54=Pseudovitelliform	88=Cannot grade	99=Not applicable								
OABCODE3	OTHER_AB_CODE3_DESCRIPTION	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Other abnormalities third code number and description								41=Asteroid hyalosis	42=Arteriolar narrowing = Std 19	43=Chorioretinal scar > 1500 microns from center	44=Diabetic retinopathy level 20 or 30 or < 10 small red spots	45=Drusen of the optic nerve	46=Hollenhorst plaque	47=Nevus (< #24 of Confounding ocular lesions)	48=Peripapillary atrophy	49=Cellophane reflex only, no patch = 1 disc area in extent	50=Vitreous opacity or glial remnant	51=Other	52=Large cup (Asymmetry, undercutting, notching, or cup-to-rim)	53=Surface wrinkling retinopathy with no coarse traction lines through the center AND no vascular dragging within the inner subfields AND no ERM involving the center, part of which obscures underlying vessels or pseudohole	54=Pseudovitelliform	88=Cannot grade	99=Not applicable								
SSCALEAD	AREDS_SEV_SCALE_ADVANCED	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					AREDS AMD calculated severity scale value for eyes with traits of neovascular AMD or central geographic atrophy								10=Central GA	11a=Neovascular AMD with definite presence of one of the following five characteristics of neovascular AMD: SSR detachment, PED, subretinal/sub-RPE hemorrhage, hard exudate, or fibrous tissue	11b=Neovascular AMD with end-stage disease (e.g., definite disciform scar, or photocoagulation scar), or two or more of the following five characteristics of neovascular AMD: SSR detachment, PED, subretinal/sub-RPE hemorrhage, hard exudate, or fibrous tissue	99=Not applicable																				
SSCALENA	AREDS_SEV_SCALE_NOTADVANCED	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					AREDS AMD calculated severity level, truncated to exclude neovascular AMD and central geographic atrophy								1=AREDS AMD Severity Scale Step 1	2=AREDS AMD Severity Scale Step 2	3=AREDS AMD Severity Scale Step 3	4=AREDS AMD Severity Scale Step 4	5=AREDS AMD Severity Scale Step 5	6=AREDS AMD Severity Scale Step 6	7=AREDS AMD Severity Scale Step 7	8=AREDS AMD Severity Scale Step 8	9=AREDS AMD Severity Scale Step 9	88=Cannot grade	99=Not applicable													
SUPPA1	SUPPLEMENTA1	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Presence of abnormal autofluorescence (AF) > circle I2 or changes in background AF								Blank=AF images are absent	0=Absent	1=Questionable	2=Definite	3=Neo AMD	8=Cannot Grade	9=Not Applicable																	
SUPPA2	SUPPLEMENTA2	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Decreased AF within the grid								Blank=Not answered	0=Absent	1=Questionable	2=Definite																				
SUPPA3	SUPPLEMENTA3	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Decreased AF at the center of the macula								Blank=Not answered	0=Absent	1=Questionable	2=Definite	9=Not Applicable																			
SUPPA4	SUPPLEMENTA4	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Decreased AF with halo of increased AF								Blank=Not answered	0=Absent	1=Questionable	2=Definite	9=Not Applicable																			
SUPPA5	SUPPLEMENTA5	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Abnormal AF within the grid								Blank=Not answered	0=Absent	1=Questionable	2=Definite, Area <1/2 DA	3=Definite, Area <2 DA	4=Definite, Area <8 DA	5=Definite, Area >=8 DA																	
SUPPA6	SUPPLEMENTA6	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	encoded value					Irregular background AF								Blank=Not answered	0=Absent	1=Questionable irregular AF	2=Definite irregular AF																				
SUPPB1	SUPPLEMENTB1	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer					Proximity of decreased AF to center (microns)								Blank=Not answered	0 - 3600 microns	9999=Not Applicable																					
SUPPC1	SUPPLEMENTC1	ReadingCenter_EDC_AMD_VariableNames_Sept2012.pdf	integer					Area of decreased AF within grid (DA)								Blank=Not answered	0.00 - 16.00 DA	99.99=Not Applicable																					
