VARNAME	VARDESC	DOCFILE	TYPE	UNITS	MIN	MAX	RESOLUTION	COMMENT1	COMMENT2	VARIABLE_SOURCE	SOURCE_VARIABLE_ID	UNIQUEKEY	COLLINTERVAL	VARIABLE_MAPPING	ORDER	VALUES
SUBJECT_ID	PARTICIPANT ID	ReadingCenter_EDC_LensVariableNames.pdf	string									X																		
PROTSEG	SEGMENT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value									X				A=Screening	B=Post-Randomization Follow-up													
VISNO	VISIT NUMBER	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Code for visit at which these images were taken				X				00=Qualification Visit	01=Randomization Visit	02=3-Month Telephone	03=6-Month Telephone	04=1 Year In-clinic	05=1.5 Year Telephone	06=2 Year In-clinic	07=2.5 Year Telephone	08=3 Year In-clinic	09=3.5 Year Telephone	10=4 Year In-clinic	11=4.5 Year Telephone	12=5 Year In-clinic	13=5.5 Year Telephone	14=6 Year In-clinic
EYE	EYE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Eye				X				L=Left	R=Right													
EXPTYPE	EXPORTTYPE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Export type and grading module used								LensColorv.2.1														
EXPDATE	EXPORTDATE	ReadingCenter_EDC_LensVariableNames.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date export file was written																					
STUDYEYE	STUDYEYE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Eye designated as study eye								R=Right Eye	L=Left Eye	B=Both												
PHOTDATE	PHOTODATE	ReadingCenter_EDC_LensVariableNames.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date images were taken																					
RETAKES	RETAKES	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Are these retakes?								0=No	2=Yes													
GRADTYPE	GRADETYPE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Type of grade								QC1=Quality control run 1, etc.	ST=Standard grade													
GRDDATE	COMPLETEDDATE	ReadingCenter_EDC_LensVariableNames.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading completed (Normal Mode)																					
OVERDATE	OVERRIDEDATE	ReadingCenter_EDC_LensVariableNames.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading was overridden (Override Mode)							Blank - Grade not overridden														
REVDATE	REVIEWDATE	ReadingCenter_EDC_LensVariableNames.pdf	integer	Days	0	9999		Dates converted into days since randomization	Date grading was reviewed (Review Mode)							Blank - Grade not reviewed														
