path,code,dbgapi2b2code1,Demographic_field,Demographic_label,Demographic_code,dbgapi2b2code2,Another_field,Another_label,Another_code
\Demographics\Gender\Male\,DEM|SEX:m,SEXMaleM,SEX,Male,M,,,,
\Demographics\Gender\Female\,DEM|SEX:f,SEXFemaleF,SEX,Female,F,,,,
\Demographics\Gender\Unknown\,DEM|SEX:u,,,,,,,,
\Demographics\Race\Aleutian\Aleutian-ALEUTIAN\,DEM|RACE:aleutian,,,,,,,,
\Demographics\Race\American Indian\American Indian-AMER. INDIAN\,DEM|RACE:amer. indian,,,,,,,,
\Demographics\Race\Asian Pacific Islander\Asian Pacific Islander-ASIAN PAC ISL\,DEM|RACE:asian pac. isl,RACEAsianorPacificIslander4,RACE,Asian or Pacific Islander,4,,,,
\Demographics\Race\Asian\Asian-ASIAN\,DEM|RACE:asian,,,,,,,,
\Demographics\Race\Black\Black-BLACK\,DEM|RACE:black,RACEBlacknotofHispanicorigin2,RACE,Black - not of Hispanic origin,2,,,,
\Demographics\Race\Black\Hispanic Black-HIS BLACK\,DEM|RACE:his black,,,,,,,,
\Demographics\Race\Eskimo\Eskimo-ESKIMO\,DEM|RACE:eskimo,,,,,,,,
\Demographics\Race\Hispanic\Hispanic White-HIS WHITE\,DEM|RACE:his white,,,,,,,,
\Demographics\Race\Hispanic\Hispanic-HISPANIC\,DEM|RACE:hispanic,RACEHispanic3,RACE,Hispanic,3,,,,
\Demographics\Race\Indian\Indian-INDIAN\,DEM|RACE:indian,,,,,,,,
\Demographics\Race\Middle Eastern\Middle Eastern-MID EASTERN\,DEM|RACE:mid.eastern,,,,,,,,
\Demographics\Race\Multiracial\Multiracial-MULTI\,DEM|RACE:multi,,,,,,,,
\Demographics\Race\Native American\Native American-NAT AM\,DEM|RACE:nat. am.,,,,,,,,
\Demographics\Race\Navajo\Navajo-NAVAJO\,DEM|RACE:navajo,,,,,,,,
\Demographics\Race\Not Recorded\Not Recorded-@\,DEM|RACE:@,,,,,,,,
\Demographics\Race\Not Recorded\Not Recorded-DEFERRED\,DEM|RACE:deferred,,,,,,,,
\Demographics\Race\Not Recorded\Not Recorded-REFUSED\,DEM|RACE:refused,,,,,,,,
\Demographics\Race\Not Recorded\Not Recorded-UNK\,DEM|RACE:unk,,,,,,,,
\Demographics\Race\Oriental\Oriental-ORIENTAL\,DEM|RACE:oriental,,,,,,,,
\Demographics\Race\Other\Other-OTHER\,DEM|RACE:other,RACEOther5,RACE,Other,5,,,,
\Demographics\Race\White\White-WHITE\,DEM|RACE:white,RACEWhitenotofHispanicorigin1,RACE,White - not of Hispanic origin,1,,,,
