concept_path,concept_cd
/Diagnoses/Circulatory system (390-459)/(448) Disease of capillaries/,ICD9:448
/Diagnoses/Circulatory system (390-459)/Acute Rheumatic fever (390-392)/(391) Rheumatic fever with heart ~/,ICD9:391
/Diagnoses/zz V-codes/Followup care and procedures (V50-V59)/(V59) Donors/(V59-0) Blood donors/,ICD9:V59.0
/Diagnoses/Circulatory system (390-459)/Acute Rheumatic fever (390-392)/(392) Rheumatic chorea/(392-0) Rheumatic chorea with hea~/,ICD9:392.0
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-0) Atherosclerosis of aorta/,ICD9:440.0
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-1) Atherosclerosis of renal ~/,ICD9:440.1
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-2) Atherosclerosis of native~/(440-21) Atherosclerosis of nativ~/,ICD9:440.21
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-2) Atherosclerosis of native~/(440-22) Atherosclerosis of the e~/,ICD9:440.22
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-2) Atherosclerosis of native~/(440-23) Atherosclerosis of nativ~/,ICD9:440.23
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-2) Atherosclerosis of native~/(440-24) Atherosclerosis of nativ~/,ICD9:440.24
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-2) Atherosclerosis of native~/(440-29) Atherosclerosis of other~/,ICD9:440.29
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-3) Of bypass graft of the ex~/,ICD9:440.3
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-3) Of bypass graft of the ex~/(440-31) Atherosclerosis of autol~/,ICD9:440.31
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-3) Of bypass graft of the ex~/(440-32) Atherosclerosis of nonau~/,ICD9:440.32
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(440) Atherosclerosis/(440-8) Atherosclerosis of other ~/,ICD9:440.8
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/,ICD9:441
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/(441-0) Dissecting aneurysm of ao~/(441-01) Thoracic/,ICD9:441.01
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/(441-0) Dissecting aneurysm of ao~/(441-02) Dissecting aneurysm of a~/,ICD9:441.02
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/(441-3) Abdominal aortic aneurysm~/,ICD9:441.3
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/(441-4) Abdominal aortic aneurysm~/,ICD9:441.4
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(441) Aortic aneurysm and dissect~/(441-4) Abdominal aortic aneurysm~/(441-40) Aortic Aneurysm-Abdomi~/,ICD9:441.40
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/,ICD9:442
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-0) Aneurysm of artery of upp~/,ICD9:442.0
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-1) Aneurysm of renal artery/,ICD9:442.1
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-2) Aneurysm of iliac artery/,ICD9:442.2
